GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total robbery,0,0
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total robbery,0,0
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total robbery,5,52.63
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total robbery,2,20.87
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total robbery,2,20.52
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total robbery,3,30.28
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total robbery,6,60.86
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total sexual violations against children,3,32.39
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total sexual violations against children,5,53.56
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total sexual violations against children,5,53.04
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total sexual violations against children,2,21.05
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total sexual violations against children,11,114.76
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total sexual violations against children,2,20.52
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total sexual violations against children,1,10.09
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total sexual violations against children,2,20.29
"Amherst, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total theft of motor vehicle,17,183.55
"Amherst, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total theft of motor vehicle,12,128.53
"Amherst, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total theft of motor vehicle,4,42.44
"Amherst, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total theft of motor vehicle,8,84.2
"Amherst, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total theft of motor vehicle,15,156.49
"Amherst, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total theft of motor vehicle,8,82.08
"Amherst, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total theft of motor vehicle,11,111.01
"Amherst, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total theft of motor vehicle,4,40.58
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Assault, level 1",76,367.54
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Assault, level 1",104,504.41
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Assault, level 1",79,384.62
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Assault, level 1",91,442.13
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Assault, level 1",127,618.13
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Assault, level 1",101,489.82
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Assault, level 1",124,601.15
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Assault, level 1",122,588.12
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Assault, level 2, weapon or bodily harm",31,149.92
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Assault, level 2, weapon or bodily harm",28,135.8
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Assault, level 2, weapon or bodily harm",21,102.24
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Assault, level 2, weapon or bodily harm",33,160.33
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Assault, level 2, weapon or bodily harm",27,131.41
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Assault, level 2, weapon or bodily harm",33,160.04
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Assault, level 2, weapon or bodily harm",22,106.66
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Assault, level 2, weapon or bodily harm",22,106.05
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Assault, level 3, aggravated",1,4.84
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Assault, level 3, aggravated",1,4.87
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Assault, level 3, aggravated",1,4.85
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Assault, level 3, aggravated",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Attempted murder,2,9.67
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Attempted murder,3,14.55
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Attempted murder,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Attempted murder,1,4.86
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Attempted murder,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Attempted murder,1,4.85
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Attempted murder,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Attempted murder,0,0
