GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Total property crime violations,222,2778.82
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Total property crime violations,207,2580.08
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,97,1290.75
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,117,1563.54
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Total violent Criminal Code violations,85,1135.15
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Total violent Criminal Code violations,94,1234.73
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Total violent Criminal Code violations,90,1167.47
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Total violent Criminal Code violations,131,1667.09
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Total violent Criminal Code violations,136,1702.34
"Barrington, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Total violent Criminal Code violations,151,1882.09
"Bridgewater, Nova Scotia, municipal",12/31/2017 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",397,4791.79
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",456,5515.91
"Bridgewater, Nova Scotia, municipal",12/31/2015 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",535,6487.21
"Bridgewater, Nova Scotia, municipal",12/31/2014 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",490,5917.87
"Bridgewater, Nova Scotia, municipal",12/31/2013 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",554,6634.73
"Bridgewater, Nova Scotia, municipal",12/31/2012 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",681,8103.28
"Bridgewater, Nova Scotia, municipal",12/31/2011 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",786,9329.38
"Bridgewater, Nova Scotia, municipal",12/31/2010 12:00:00 AM,"Total, all Criminal Code violations (excluding traffic)",761,9124.7
"Bridgewater, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total other Criminal Code violations,75,905.25
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total other Criminal Code violations,73,883.03
"Bridgewater, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total other Criminal Code violations,102,1236.81
"Bridgewater, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total other Criminal Code violations,67,809.18
"Bridgewater, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total other Criminal Code violations,87,1041.92
"Bridgewater, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total other Criminal Code violations,102,1213.71
"Bridgewater, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total other Criminal Code violations,107,1270.03
"Bridgewater, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total other Criminal Code violations,123,1474.82
"Bridgewater, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total property crime violations,215,2595.05
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total property crime violations,281,3399.06
"Bridgewater, Nova Scotia, municipal",12/31/2015 12:00:00 AM,Total property crime violations,303,3674.06
"Bridgewater, Nova Scotia, municipal",12/31/2014 12:00:00 AM,Total property crime violations,309,3731.88
"Bridgewater, Nova Scotia, municipal",12/31/2013 12:00:00 AM,Total property crime violations,356,4263.47
"Bridgewater, Nova Scotia, municipal",12/31/2012 12:00:00 AM,Total property crime violations,441,5247.5
"Bridgewater, Nova Scotia, municipal",12/31/2011 12:00:00 AM,Total property crime violations,502,5958.46
"Bridgewater, Nova Scotia, municipal",12/31/2010 12:00:00 AM,Total property crime violations,420,5035.97
"Bridgewater, Nova Scotia, municipal",12/31/2017 12:00:00 AM,Total violent Criminal Code violations,107,1291.49
"Bridgewater, Nova Scotia, municipal",12/31/2016 12:00:00 AM,Total violent Criminal Code violations,102,1233.82
